Company Name,Ticker,Last Close
"Ares Acquisition Corp.","AAC","10.16"
"AAC Technologies","AACAY","2.5825"
"ATA","AACG","1.4425"
"Armada Acquisition Corp. I","AACI","10.02"
"Aadi Bioscience","AADI","12.62"
"Arlington Asset Investment","AAIC","3.01"
"American Airlines","AAL","16.14"
"Atlantic American","AAME","2.51"
"Aaron's","AAN","14.65"
"Applied Optoelectronics","AAOI","2.39"
"AAP","AAPJ",".0048"
"Accelerate Acquisition","AAQC","10.115"
"Global Acquisitions","AASP",".2955"
"Autoscope Technologies","AATC","4.1375"
"AA","AATDF",".4"
"Almaden Minerals","AAU",".2338"
"Advantage Oil & Gas","AAVVF","6.26"
"Ascend Wellness Holdings, Inc.","AAWH","1.3985"
"ABCO Energy","ABCE",".0002"
"AbCellera Biologics","ABCL","10.53"
"Abcam","ABCM","13.87"
"AmBase","ABCP",".1"
"Abeona Therapeutics","ABEO","2.52"
"Ambev","ABEV","2.66"
"ABG Acquisition Corp. I","ABGI","10.15"
"Ability","ABILF",".0003"
"ARCA biopharma","ABIO","2.2"
"American Bio Medica","ABMC",".0118"
"Advanced Biomedical Technologies","ABMT",".047"
"Acumen Pharmaceuticals","ABOS","6.57"
"Arbor Realty Trust","ABR","14.93"
"Absci Corporation","ABSI","3.14"
"Absolute Software","ABST","11.61"
"Arbutus Biopharma","ABUS","3.01"
"ABVC BioPharma","ABVC",".7215"
"Atlantic Coastal Acquisition Corp. II","ACAB","10.28"
"Acri Capital Acquisition Corporation","ACAC","10.39"
"ACADIA Pharmaceuticals","ACAD","19.03"
"Atlantic Coastal Acquisition","ACAH","10.095"
"Safeplus International Holdings Limited","ACAI",".1604"
"Athena Consumer Acquisition Corp.","ACAQ","10.6"
"Alset Capital Acquisition Corp.","ACAX","10.14"
"Aurora Cannabis","ACB","1.04"
"Ace Global Business Acquisition","ACBA","10.78"
"Albina Community Bancorp","ACBCQ",".0002"
"Acacia Diversified Holdings","ACCA",".0002"
"Accolade","ACCD","11.67"
"Acco Brands","ACCO","6.35"
"Ascendant Digital Acquisition Corp. III","ACDI","10.36"
"Air Canada","ACDVF","16.94"
"Accel Entertainment","ACEL","9.22"
"Acer Therapeutics","ACER","2.32"
"Adicet Bio","ACET","9.15"
"Acorn Energy","ACFN",".32"
"Agri Bank China","ACGBY","8.93"
"Aceragen, Inc.","ACGN","4.69"
"Arch Biopartners Inc.","ACHFF","2.07"
"Achilles Therapeutics","ACHL","1.24"
"Archer Aviation","ACHR","2.9"
"Achieve Life Sciences","ACHV","4.86"
"AC Immune","ACIU","2.48"
"ACM Research","ACMR","12.49"
"Ascent Industries Co.","ACNT","11.32"
"Alpha Cognition Inc.","ACOGF",".3152"
"Aclarion","ACON",".6489"
"Acorda Therapeutics","ACOR",".95"
"Independence Holdings","ACQR","10.17"
"ACRES Commercial Realty","ACR","9.45"
"Ares Commercial Real Estate","ACRE","12.28"
"American Clean Resources Group, Inc.","ACRG","3.25"
"Acropolis Infrastructure Acquisition","ACRO","10.06"
"Aclaris Therapeutics","ACRS","16.9"
"Acrivon Therapeutics, Inc.","ACRV","16.2"
"AcelRx Pharmaceuticals","ACRX","2"
"Acasti Pharma","ACST",".7101"
"Acacia Research","ACTG","4.36"
"Acura Pharmaceuticals","ACUR",".05"
"Acusphere","ACUS",".001"
"ACV Auctions","ACVA","9.8"
"Acurx Pharmaceuticals","ACXP","3.6"
"Adagene","ADAG","1.92"
"Anthemis Digital Acquisitions I Corp.","ADAL","10.35"
"Adaptimmune Therapeutics","ADAP","1.87"
"","ADCOF",".196"
"ADC Therapeutics","ADCT","5.11"
"Color Star Technology","ADD","1.4"
"Addex Pharmaceuticals","ADDXF",".99"
"ADEIA INC","ADEA","10.95"
"26 Capital Acquisition","ADER","10.16"
"Advanced Emissions Solutions","ADES","3.1"
"Adit EdTech Acquisition","ADEX","10.2702"
"American Defense Systems","ADFS",".0002"
"Adial Pharmaceuticals","ADIL",".475"
"American Medical Technologies","ADLI",".0001"
"ADMA Biologics","ADMA","3.69"
"Adamant Dri Processing And Minerals Group","ADMG",".072"
"Adamis Pharmaceuticals","ADMP",".2005"
"ADM Tronics Unlimited","ADMT",".075"
"Advent Technologies Holdings","ADN","1.9"
"Edoc Acquisition","ADOC","10.69"
"Adocia","ADOCY","11.8"
"Adaptive Biotechnologies","ADPT","9.27"
"Adara Acquisition","ADRA","10.48"
"Ault Disruptive Technologies Corporation","ADRT","10.34"
"Andritz","ADRZY","11.995"
"ADS-TEC Energy","ADSE","3"
"Allied Security Innovations","ADSV",".0002"
"ADT","ADT","8.79"
"AdTheorent","ADTH","1.74"
"ADTRAN Holdings, Inc.","ADTN","18.87"
"Aditx Therapeutics","ADTX","1.36"
"Advantage Solutions","ADV","2.59"
"Adverum Biotechnologies","ADVM",".6511"
"","ADX","15.56"
"Addex Therapeutics","ADXN","1.07"
"Advaxis","ADXS","2.295"
"Adyen","ADYEY","15.04"
"AltEnergy Acquisition Corp.","AEAE","10.28"
"","AEF","5.64"
"Aegon","AEG","5.48"
"Aesther Healthcare Acquisition Corp.","AEHA","10.37"
"Antelope Enterprise","AEHL",".94"
"ALSET INC","AEI","3.09"
"Aethlon Medical","AEMD",".58"
"Grana y Montero","AENZ","2.714"
"American Eagle Outfitters","AEO","16.14"
"W2 Energy","AEPT",".0856"
"Applied Energetics","AERG","2.05"
"Arc Resources","AETUF","11.62"
"Aeva Technologies","AEVA","1.69"
"ATOS ORIGIN","AEXAY","2.591"
"ADDvantage Technologies Group","AEY","1.45"
"Audioeye","AEYE","5.77"
"AEterna Zentaris","AEZS","3.83"
"Aura FAT Projects Acquisition Corp.","AFAR","10.32"
"Affinity Bancshares","AFBI","14.71"
"AFC Gamma","AFCG","15.7"
"Affinity Networks","AFFN",".012"
"Affymax","AFFY",".01"
"Atlas Financial Holdings","AFHIF",".03"
"Acutus Medical","AFIB","1.66"
"Armstrong Flooring","AFIIQ",".01"
"Air France-KLM","AFLYY","1.72"
"Affimed","AFMD","1.29"
"FORAFRIC GLOBAL","AFRI","11.19"
